year,FinancialYear,Tonnes,Days
1989,1989-90,4.07,136
1990,1990-91,35.16,572
1991,1991-92,34.5,582
1992,1992-93,21.79,365
1993,1993-94,9.57,238
1994,1994-95,15.86,290
1995,1995-96,38.57,515
1996,1996-97,54.88,843
1997,1997-98,120.06,1060
1998,1998-99,175.71,1553
1999,1999-00,99.24,993
2000,2000-01,82.79,1115
2001,2001-02,104.16,1328
2002,2002-03,90.01,1227
2003,2003-04,54.85,793
2004,2004-05,55.31,1231
2005,2005-06,64.03,1175
2006,2006-07,66.42,1091
2007,2007-08,56.33,893
2008,2008-09,53.34,1073
2009,2009-10,60.16,1048
2010,2010-11,44.48,876
2011,2011-12,41.28,740
2012,2012-13,44.33,783
2013,2013-14,56.58,916
2014,2014-15,63.6,1153
2015,2015-16,64.63,1117
2016,2016-17,69.85,1099
2017,2017-18,53.56,1150
2018,2018-19,41.9,1001
2019,2019-20 incomplete,38.59,757
