,CAABCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinancialYear,23607000,23615000,23617006,23659901,25416001,28711000,28784000,28795004,28850000,28911005,28911902,37000000,37005004,37008001,37010001,37013006,37013007,37013008,37013014,37013900,37017001,37017008,37018000,37018001,37018002,37018003,37018004,37018005,37018006,37018007,37018008,37018009,37018010,37018011,37018013,37018014,37018015,37018016,37018020,37018021,37018022,37018023,37018026,37018027,37018029,37018030,37018032,37018033,37018034,37018035,37018036,37018038,37018903,37019000,37019001,37019002,37020901,37026001,37026900,37027000,37027006,37031000,37035000,37035004,37039003,37053001,37054001,37055000,37060000,37063002,37085000,37085007,37085019,37085903,37086001,37087001,37088002,37094900,37117001,37118002,37118901,37142001,37165003,37188001,37188005,37192000,37192006,37232000,37234000,37235000,37255009,37258000,37258001,37261000,37287000,37287049,37287066,37288000,37296000,37296001,37296004,37296007,37296021,37296023,37296033,37310001,37310006,37311006,37311007,37311008,37311009,37311011,37311012,37311014,37311021,37311034,37311040,37311042,37311044,37311045,37311047,37311057,37311061,37311063,37311068,37311069,37311075,37311076,37311077,37311079,37311081,37311082,37311083,37311085,37311086,37311090,37311096,37311136,37311137,37311138,37311140,37311141,37311145,37311150,37311151,37311152,37311166,37311170,37311173,37311904,37311905,37311908,37311909,37311910,37320003,37321001,37321007,37321008,37321009,37321014,37321018,37321019,37321026,37323004,37326000,37326001,37327047,37327102,37330000,37330005,37330006,37330010,37330015,37331006,37334002,37335001,37336002,37337000,37337003,37337006,37337007,37337011,37337012,37337016,37337018,37337022,37337025,37337027,37337028,37337029,37337032,37337037,37337038,37337039,37337040,37337042,37337048,37337050,37337052,37337053,37337062,37337064,37337066,37337072,37337075,37337904,37337905,37337907,37337911,37338001,37342000,37346000,37346001,37346002,37346003,37346004,37346005,37346006,37346007,37346010,37346011,37346014,37346015,37346016,37346017,37346018,37346025,37346027,37346028,37346029,37346030,37346031,37346032,37346034,37346036,37346038,37346045,37346047,37346049,37346053,37346054,37346055,37346056,37346058,37346060,37346064,37346065,37346901,37346910,37346911,37346915,37347000,37347005,37347006,37347007,37347901,37348001,37349000,37349001,37350002,37350003,37350011,37350012,37350014,37350902,37351000,37351002,37351004,37351005,37351006,37351007,37351008,37351009,37351010,37351011,37351012,37351013,37351014,37351016,37351018,37351019,37351020,37351022,37351025,37351026,37351027,37351901,37353000,37353001,37353004,37353006,37353011,37353013,37354000,37354001,37354003,37354006,37354007,37354019,37354020,37354024,37355000,37355900,37356002,37357012,37359001,37361000,37361004,37361007,37362000,37362002,37362005,37363002,37363900,37371002,37372012,37377000,37377004,37377009,37377011,37378002,37381000,37381008,37381009,37382001,37382901,37383000,37383002,37383004,37383005,37384000,37384007,37384010,37384025,37384042,37384043,37384054,37384072,37384073,37384076,37384104,37384122,37384167,37384902,37384904,37388000,37390000,37400000,37428219,37429010,37429038,37437019,37438000,37438013,37439002,37440000,37441002,37441003,37441005,37441007,37441008,37441009,37441010,37441011,37441013,37441014,37441015,37441018,37441024,37441025,37441029,37441791,37441909,37441911,37441912,37444000,37444002,37444003,37444005,37444006,37444007,37445001,37457001,37460000,37464007,37465000,37465900,37467009,37990003,37990005,37990006,37990007,37990013,37990085,37999039,99280002,99370001,99370005,99370006,99370007,99370009,Unknown,Grand Total
1989-90,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,27,,,,,,,,73,,,,,,,,,,,,47,,,,,,,,,,,,,,N/A,,45,,,,,,,,,,,,,,,,5276,,452,,51,,,,,,,,,,,,,,,,,N/A,,,,42,,N/A,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,1130,,,,,,N/A,51,,,,,N/A,,,,711,,,N/A,,,,N/A,,,,,,,,,,38,,,,,,,,,,,,,,N/A,136,244,53,,,,,,,N/A,,,,,,,,45,N/A,,,,,,308,4099,,,,,,,N/A,,,,,,,,N/A,122,,,,,,179,,,,N/A,,,,,,,,,,,,,,,,,,25,,,,,N/A,,,,N/A,,,49,25,63,,,,N/A,,,,,,,,,173,,,,,,,,,,,,,,N/A,,2034,,,,,,N/A,N/A,160,,784,,,N/A,37,,,,,,,,,,,,,,,397,,1893,1085,,,,,16,78,N/A,N/A,,15,6644
1990-91,,N/A,,,,,,,,,,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,42,,,,,,,,,,17,,,,,,,,116,,,,,,,,,,,,160,,,N/A,,,,,,,,,,,N/A,,135,,,,,,,,,,,,,,,,13940,N/A,1453,,110,,,,,,,,,,,,,,N/A,,,17,,,N/A,124,,19,,N/A,29,,N/A,,,,N/A,N/A,,,,,,,,,,,,2984,N/A,,,,,N/A,82,,,N/A,N/A,62,,,,1743,,,128,,,,24,,,,,,,,,,111,,,,,,,,,,,,,,21,552,393,67,,,,,,,N/A,,,,,,,,78,208,,N/A,,,,750,10154,,,,,,N/A,N/A,,,,,,,,21,483,,,,,N/A,351,,,,21,,,,,,,,,,N/A,,,,,,,,45,,,,,21,,,,30,N/A,,49,33,426,,,,N/A,,,,,,,,,335,,,,,,,,,,,,,,61,,8106,,,,,,45,99,400,N/A,3284,,,N/A,214,,,,,,,,,,,,N/A,,,833,,5306,3222,,,,N/A,25,255,N/A,N/A,,21,19824
1991-92,,,,,,,N/A,,,,,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,34,,,,,,,,,,15,,,,,,,,17,,,,,,,,N/A,,,,200,,,N/A,,,,N/A,,,,,,,N/A,,230,,,,,,,,,,,,,,,,13211,,1353,N/A,111,,,,,,,,,,,,,,N/A,,,N/A,,,N/A,138,,410,,N/A,62,,N/A,,,,N/A,N/A,,,,N/A,,,,,,,,1453,N/A,,,,,,22,,N/A,N/A,N/A,75,,,,1636,N/A,,146,,N/A,,23,,,,,N/A,,,,,145,,,,,,,,,,,,,,N/A,573,562,122,,,,,,,,,,,N/A,,,,57,812,,N/A,,,,561,10560,,,,,,N/A,N/A,,,,,,,,N/A,511,,,,,N/A,304,,,,25,,,,,,,,,N/A,N/A,,,,,,,,48,,,,,N/A,,N/A,,24,N/A,,21,N/A,411,,,,17,,,,,,,,,416,,,,,,,,,,,,,N/A,34,,6068,,,,,,30,122,216,13,2332,,,,183,N/A,,,,,,,,,N/A,,,,,485,,4005,3286,,,,,N/A,570,N/A,N/A,,67,18467
1992-93,,,,,,,N/A,,,,,3198,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,302,,,,,,,,,,,,,,22,,142,,,,,,,,,,,,,,,,14755,,1822,N/A,52,,,,,,,,,,,,,,N/A,,,,,,N/A,244,,2278,,N/A,19,,N/A,,,,N/A,N/A,,,,N/A,,,,,,,,305,N/A,,,,,N/A,21,,N/A,N/A,,N/A,,,,1002,N/A,,210,,101,,51,,,,,N/A,,,,,50,,,,,,,,,,,,,,12,364,526,110,,,,,,,,,,,30,,,,113,1877,,N/A,,N/A,,365,11085,,,,,,,61,,,,,,,,20,494,,,,,,59,,,,N/A,,N/A,,,,,,,N/A,N/A,,,,,,,,28,,,,,,,N/A,,31,,,N/A,N/A,668,N/A,,,40,,,,,,,,,686,,,,,,,,,,,,,N/A,,,7417,,,N/A,,N/A,60,140,62,N/A,2697,,,N/A,115,21,N/A,,,,,,,,,,N/A,,,507,,2137,3400,,,,,N/A,1146,,N/A,,280,21159
1993-94,,N/A,,,,,,,,,,3950,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,39,N/A,,,,,,,,,17,,,,,,,,N/A,N/A,,,,,,,,,,,456,,,,,,,,,,,,,,32,,230,,,,,,,,N/A,,N/A,,,,,,17749,,2860,,45,,,,,,,,,,,,,,N/A,,,,,,N/A,307,,2573,,N/A,21,,,,,,N/A,,,,,N/A,,,,,,,,,N/A,,,,,N/A,24,,N/A,N/A,N/A,N/A,,,,1005,25,,374,,224,,50,,,,,N/A,,N/A,,,35,,,,,,,,,,,,,,N/A,231,809,89,,,,,,,,,,,68,,,,120,2608,,N/A,,N/A,,491,13096,,,,,,,42,,,,,,,,58,422,N/A,,,,N/A,93,,,,9,,,,,,,,,N/A,N/A,N/A,,,,,,,44,,,,N/A,N/A,,,,11,N/A,,N/A,,722,,,,125,,,,,,,,,1030,,,,,,,,,,,,,N/A,,,7934,,,N/A,,,117,209,74,19,2703,,,N/A,166,23,,,,,,,,,,,,,,557,,816,3895,,,,,6,3144,,N/A,,313,24434
1994-95,,N/A,,,,,N/A,,,,N/A,2280,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,47,,,,,,,,,,N/A,,,,,,,,,N/A,N/A,,,,,N/A,23,,,,511,N/A,,,,,,,,,,,,,25,,351,,,,,,,,N/A,,,,N/A,,,N/A,19331,,3202,,194,,,,,,,,,,,,,,N/A,,,,,,,231,,2941,,N/A,39,,,,,,N/A,N/A,,N/A,,16,,,,,,,,,N/A,,,,,N/A,57,,N/A,N/A,N/A,16,,,,1580,69,,462,,256,,43,,,,,24,,N/A,,,52,,,,,,,,,,,,,,36,290,1407,220,,,,,,,,,,,93,,,,28,3123,,14,N/A,44,,694,13604,,,,,,,222,,,,,,,N/A,93,596,N/A,N/A,,,,42,N/A,,,N/A,,,,,,,,,N/A,N/A,,,,,,,,64,,,,,,,,,32,83,,N/A,N/A,591,,,,211,N/A,,,,,,,,1776,,,,,,,,,,,,,13,,,7406,,,N/A,,N/A,87,107,71,N/A,2516,N/A,,N/A,196,12,,,,,,,,,,,,,,593,,911,3371,,,,N/A,26,5090,,N/A,,214,26328
1995-96,N/A,N/A,,,,,N/A,,,N/A,N/A,2376,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,,,,41,,,,,N/A,,,,N/A,,,,,N/A,,,,,,,,56,,,,,,,,,,63,,,,,,,N/A,37,N/A,23,,,,,N/A,N/A,,,,644,,,22,,N/A,,N/A,,,,,,,20,,492,,,,,,,,N/A,,,,N/A,,,N/A,20943,N/A,3590,N/A,310,,,N/A,,N/A,,,,N/A,,,,,53,,,,,,N/A,256,N/A,3564,,13,85,,N/A,,,,N/A,49,,,,19,,,,,,,,,N/A,N/A,,,,7,61,N/A,13,9,N/A,76,,,,1862,168,,677,N/A,231,,157,,,N/A,,13,,N/A,,,145,,,,,,,,,,,,,,123,511,1662,286,,,,,,,,N/A,,,146,,,,175,3251,,25,N/A,60,N/A,650,13772,,,,,,N/A,464,,,,,,,,186,968,N/A,N/A,N/A,,,31,,,,24,N/A,,,,,,N/A,,,N/A,N/A,,N/A,,,,,156,,,,,,,,,37,22,,N/A,7,362,,,,145,N/A,,,,,,,,1935,,,,,,,,,,,,,N/A,,,7350,,,N/A,,N/A,114,126,166,N/A,2905,N/A,,N/A,201,34,N/A,,N/A,,N/A,,N/A,,N/A,,,,,541,N/A,1171,3566,,,,N/A,N/A,4648,,N/A,,158,28627
1996-97,N/A,N/A,,,,,N/A,,,N/A,247,3424,,,N/A,,,,,N/A,,,,N/A,,,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,,,N/A,162,N/A,,,,,,,,N/A,,,,,N/A,N/A,,,N/A,,,,53,,,,,,,,,,422,,,,,,,N/A,616,N/A,203,,,,,N/A,N/A,N/A,,,1059,N/A,,249,,,N/A,N/A,N/A,,,N/A,,,72,N/A,717,,,,,,,,N/A,,,,9,,,N/A,26759,N/A,5568,N/A,500,,,N/A,,142,N/A,N/A,,96,,,,,144,,,,,,N/A,424,N/A,4212,,12,93,,62,N/A,,N/A,49,611,,32,,7,,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,414,113,8,47,,327,,N/A,,3014,641,,1528,N/A,348,,731,N/A,N/A,,,24,,11,,,316,,,,,,N/A,,,,,,,,740,819,2492,201,,,,,,,,N/A,,N/A,202,,N/A,,1183,5020,,83,N/A,240,N/A,1487,19174,,,,,,,550,,,,,,,,800,1506,N/A,N/A,N/A,,28,38,N/A,,,80,N/A,,,,,,N/A,,N/A,46,8,,84,,,N/A,,276,,,,,N/A,,,,168,107,,111,17,501,N/A,,,56,N/A,,N/A,,,,,,3311,,,,,,,,,,,,N/A,61,N/A,N/A,10349,,,92,,18,168,335,109,65,2857,18,,38,357,98,200,N/A,N/A,88,411,,,N/A,N/A,,N/A,N/A,N/A,1208,N/A,2202,3988,,,,N/A,N/A,5227,,N/A,N/A,259,40029
1997-98,,N/A,,,,,N/A,,,N/A,162,4927,,,,,,,N/A,N/A,,,N/A,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,52,,,N/A,108,,,,,N/A,,,,46,,,,,N/A,N/A,,,N/A,,N/A,,70,N/A,,,,,,,N/A,,533,,N/A,,,,,N/A,823,N/A,220,,,N/A,N/A,N/A,28,,,,1648,24,,278,N/A,,,N/A,N/A,,,,,,96,N/A,771,,,,,,,,N/A,,,,35,,,130,28373,49,7135,19,758,,,,,88,,N/A,,78,,,,,197,,,,,,,379,,4511,,10,120,,26,N/A,,N/A,55,708,,26,,22,N/A,N/A,,,N/A,,,,18,25,,N/A,N/A,N/A,735,115,12,80,,230,,85,,4257,478,,2006,,446,N/A,889,N/A,13,,,119,,17,,,1153,,N/A,,,,N/A,,,,,,,,924,942,3343,307,,,,N/A,,,,,,,218,,N/A,,1492,5703,,105,63,433,N/A,2099,21108,,,,,,N/A,640,,,,,,N/A,,1198,2038,N/A,,N/A,N/A,99,N/A,31,N/A,,72,N/A,,,,,,N/A,,N/A,59,,,51,,,,,353,,,,,,,,,134,163,,57,10,838,N/A,N/A,,204,N/A,,N/A,,,,,,3942,,,,,,,,,,,,N/A,65,N/A,,11738,,,88,,46,224,350,108,62,3023,18,,40,503,178,186,N/A,N/A,113,258,,,N/A,N/A,,,N/A,,1554,N/A,1680,4918,,,,N/A,25,7089,,5,,510,45119
