year,FinancialYear,Tonnes,Days
1989,1989-90,451.48,8961
1990,1990-91,1323.59,20878
1991,1991-92,1359.73,24669
1992,1992-93,1358.31,23485
1993,1993-94,1073.05,19491
1994,1994-95,1343.05,22100
1995,1995-96,1887.83,27160
1996,1996-97,1734.54,30607
1997,1997-98,1537.55,27726
1998,1998-99,1864.80,30823
1999,1999-00,878.03,19449
2000,2000-01,704.57,16886
2001,2001-02,1013.36,14865
2002,2002-03,1198.12,16068
2003,2003-04,605.26,9267
2004,2004-05,440.77,7732
2005,2005-06,377.41,7134
2006,2006-07,238.04,5049
2007,2007-08,285.75,4338
2008,2008-09,273.40,4023
2009,2009-10,389.85,5114
2010,2010-11,196.76,3261
2011,2011-12,168.06,2830
2012,2012-13,297.44,3971
2013,2013-14,182.78,3602
2014,2014-15,132.17,2715
2015,2015-16,139.94,2559
2016,2016-17,251.68,3015
2017,2017-18,136.20,2728
2018,2018-19,94.48,2240
2019,2019-20 incomplete,101.42,2227
